application_name,package_name,current_version,original_version,year,source,activities,min_sdk,target_sdk,num_features,features,num_permissions,permissions
battery, ch.blinkenlights.battery,1.81,1.81,2012,F-Droid,1,4,4,2,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.faketouch implied: default feature for all apps,1,android.permission.RECEIVE_BOOT_COMPLETED
lockpatterngenerator, in.shick.lockpatterngenerator,2.2,2.2,2013,F-Droid,3,4,17,1,android.hardware.faketouch implied: default feature for all apps,1,android.permission.VIBRATE
passwordmaker, org.passwordmaker.android, 1.1.11,1.1.7,2014,F-Droid,3,9,9,1,android.hardware.faketouch implied: default feature for all apps,0,
tomdroid, org.tomdroid, 0.7.5, 0.7.5,2014,F-Droid,8,4,11,1,android.hardware.faketouch implied: default feature for all apps,5,com.android.launcher.permission.UNINSTALL_SHORTCUT; android.permission.INTERNET; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; com.android.launcher.permission.INSTALL_SHORTCUT
frozenbubble, org.jfedor.frozenbubble,4.4,1.12,2017,F-Droid,4,12,12,0,,6,android.permission.INTERNET; android.permission.BLUETOOTH_ADMIN; android.permission.ACCESS_NETWORK_STATE; android.permission.CHANGE_WIFI_MULTICAST_STATE; android.permission.ACCESS_WIFI_STATE; android.permission.BLUETOOTH
A2dp, a2dp.Vol, 2.13.0.4,2.8.11,2020,F-Droid,9,23,28,4,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,17,com.android.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.BLUETOOTH_ADMIN; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.BROADCAST_STICKY; android.permission.KILL_BACKGROUND_PROCESSES; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_NOTIFICATION_POLICY; android.permission.CHANGE_WIFI_STATE; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_WIFI_STATE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.BLUETOOTH; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE; com.android.launcher.permission.INSTALL_SHORTCUT
BookCatalogue, com.eleybourn.bookcatalogue,6.0.7,1.6,2020,Github,35,21,33,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,9,com.eleybourn.bookcatalogue.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.INTERNET; android.permission.VIBRATE; android.permission.ACCESS_NETWORK_STATE; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.ACCESS_WIFI_STATE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.CAMERA; android.permission.POST_NOTIFICATIONS
anymemo, org.liberty.android.fantastischmemo, 10.11.7,8.3.1,2021,F-Droid,28,16,29,2,android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.faketouch implied: default feature for all apps,5,android.permission.INTERNET; android.permission.FOREGROUND_SERVICE; android.permission.READ_EXTERNAL_STORAGE; android.permission.RECORD_AUDIO; android.permission.WRITE_EXTERNAL_STORAGE
KeePassDroid, com.android.keepass, 2.6.8,1.9.8,2022,F-Droid,15,14,31,1,android.hardware.faketouch implied: default feature for all apps,5,android.permission.USE_BIOMETRIC; android.permission.VIBRATE; android.permission.USE_FINGERPRINT; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
whohasmystuff, de.freewarepoint.whohasmystuff, 1.1.0,1.0.7,2022,F-Droid,7,21,33,1,android.hardware.faketouch implied: default feature for all apps,1,android.permission.READ_CONTACTS
k9mail, com.fsck.k9,6.707,3.512,2023,Github,33,21,31,0,,12,android.permission.READ_CONTACTS; android.permission.READ_SYNC_SETTINGS; android.permission.SCHEDULE_EXACT_ALARM; com.fsck.k9.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.INTERNET; android.permission.FOREGROUND_SERVICE; android.permission.USE_BIOMETRIC; android.permission.ACCESS_NETWORK_STATE; android.permission.VIBRATE; android.permission.WAKE_LOCK; android.permission.USE_FINGERPRINT; android.permission.RECEIVE_BOOT_COMPLETED
myexpenses, org.totschnig.myexpenses, 3.6.1.1,1.6.0,2023,Github/F-Droid,43,21,33,1,android.hardware.faketouch implied: default feature for all apps,20,android.permission.GET_ACCOUNTS' maxSdkVersion='22; android.permission.WAKE_LOCK' maxSdkVersion='25; android.permission.READ_SYNC_SETTINGS; android.permission.WRITE_CALENDAR; android.permission.FOREGROUND_SERVICE; android.permission.MANAGE_ACCOUNTS' maxSdkVersion='22; android.permission.READ_CALENDAR; org.totschnig.myexpenses.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_SYNC_STATS; android.permission.WRITE_SYNC_SETTINGS; android.permission.AUTHENTICATE_ACCOUNTS' maxSdkVersion='22; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.ACCESS_WIFI_STATE; android.permission.USE_CREDENTIALS' maxSdkVersion='22; android.permission.POST_NOTIFICATIONS; android.permission.READ_EXTERNAL_STORAGE; com.android.launcher.permission.INSTALL_SHORTCUT
wikipedia, org.wikipedia,2.7.50447-r-2023-06-28,1.2.1,2023,F-Droid,48,21,33,0,,15,android.permission.GET_ACCOUNTS' maxSdkVersion='22; android.permission.FOREGROUND_SERVICE; org.wikipedia.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.VIBRATE; android.permission.MANAGE_ACCOUNTS' maxSdkVersion='22; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.AUTHENTICATE_ACCOUNTS' maxSdkVersion='22; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.POST_NOTIFICATIONS; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE
Wordpress, org.wordpress.android,22.7,0.5.0,2023,Github,111,24,33,1,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and targetSdkVersion > 4,20,android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_MEDIA_VIDEO; android.permission.READ_MEDIA_AUDIO; android.permission.GET_ACCOUNTS; org.wordpress.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.FOREGROUND_SERVICE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; android.permission.RECEIVE_BOOT_COMPLETED; com.android.launcher.permission.UNINSTALL_SHORTCUT; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.CAMERA; android.permission.POST_NOTIFICATIONS; android.permission.BLUETOOTH; com.google.android.c2dm.permission.RECEIVE; com.android.launcher.permission.INSTALL_SHORTCUT
